,treatment,day,paint,days.after.paint,exp.time,alive,dead,knockdown,unviable,living,total,prop.alive,prop.dead,prop.kd,prop.uv,prop.liv,pch,lty,ORDER,
53,03H-CO-1,1,CO,1,3,46,2,0,2,46,48,0.958333333,0.041666667,0,0.041666667,0.958333333,20,2,59,59
54,03H-CO-1,2,CO,1,3,46,2,0,2,46,48,0.958333333,0.041666667,0,0.041666667,0.958333333,20,2,60,60
55,03H-CO-1,7,CO,1,3,46,2,0,2,46,48,0.958333333,0.041666667,0,0.041666667,0.958333333,20,2,61,61
56,03H-CO-1,14,CO,1,3,46,2,0,2,46,48,0.958333333,0.041666667,0,0.041666667,0.958333333,20,2,62,62
57,03H-CO-1,21,CO,1,3,45,3,0,3,45,48,0.9375,0.0625,0,0.0625,0.9375,20,2,63,63
58,03H-CO-1,28,CO,1,3,41,7,0,7,41,48,0.854166667,0.145833333,0,0.145833333,0.854166667,20,2,64,64
13,03H-CO-90,0,CO,90,3,48,0,0,0,48,48,1,0,0,0,1,20,2,65,65
64,03H-CO-90,1,CO,90,3,41,5,2,7,43,48,0.854166667,0.104166667,0.041666667,0.145833333,0.895833333,20,2,66,66
65,03H-CO-90,7,CO,90,3,40,7,1,8,41,48,0.833333333,0.145833333,0.020833333,0.166666667,0.854166667,20,2,67,67
66,03H-CO-90,13,CO,90,3,40,7,1,8,41,48,0.833333333,0.145833333,0.020833333,0.166666667,0.854166667,20,2,68,68
67,03H-CO-90,21,CO,90,3,36,11,1,12,37,48,0.75,0.229166667,0.020833333,0.25,0.770833333,20,2,69,69
68,03H-CO-90,28,CO,90,3,33,14,1,15,34,48,0.6875,0.291666667,0.020833333,0.3125,0.708333333,20,2,70,70
12,03H-CO-180,0,CO,180,3,44,0,0,0,44,44,1,0,0,0,1,20,2,71,71
59,03H-CO-180,1,CO,180,3,40,2,2,4,42,44,0.909090909,0.045454545,0.045454545,0.090909091,0.954545455,20,2,72,72
60,03H-CO-180,7,CO,180,3,37,7,0,7,37,44,0.840909091,0.159090909,0,0.159090909,0.840909091,20,2,73,73
61,03H-CO-180,14,CO,180,3,33,11,0,11,33,44,0.75,0.25,0,0.25,0.75,20,2,74,74
62,03H-CO-180,21,CO,180,3,31,13,0,13,31,44,0.704545455,0.295454545,0,0.295454545,0.704545455,20,2,75,75
63,03H-CO-180,28,CO,180,3,29,14,1,15,30,44,0.659090909,0.318181818,0.022727273,0.340909091,0.681818182,20,2,76,76
14,06H-5A-1,0,5A,1,6,48,0,0,0,48,48,1,0,0,0,1,15,3,77,77
70,06H-5A-1,1,5A,1,6,5,1,42,43,47,48,0.104166667,0.020833333,0.875,0.895833333,0.979166667,15,3,78,78
71,06H-5A-1,2,5A,1,6,9,6,33,39,42,48,0.1875,0.125,0.6875,0.8125,0.875,15,3,79,79
72,06H-5A-1,7,5A,1,6,13,21,14,35,27,48,0.270833333,0.4375,0.291666667,0.729166667,0.5625,15,3,80,80
73,06H-5A-1,14,5A,1,6,15,27,6,33,21,48,0.3125,0.5625,0.125,0.6875,0.4375,15,3,81,81
74,06H-5A-1,21,5A,1,6,14,30,4,34,18,48,0.291666667,0.625,0.083333333,0.708333333,0.375,15,3,82,82
75,06H-5A-1,28,5A,1,6,14,33,1,34,15,48,0.291666667,0.6875,0.020833333,0.708333333,0.3125,15,3,83,83
81,06H-5A-90,1,5A,90,6,0,13,35,48,35,48,0,0.270833333,0.729166667,1,0.729166667,15,3,85,84
82,06H-5A-90,7,5A,90,6,0,38,10,48,10,48,0,0.791666667,0.208333333,1,0.208333333,15,3,86,85
83,06H-5A-90,13,5A,90,6,1,40,7,47,8,48,0.020833333,0.833333333,0.145833333,0.979166667,0.166666667,15,3,87,86
84,06H-5A-90,21,5A,90,6,3,44,1,45,4,48,0.0625,0.916666667,0.020833333,0.9375,0.083333333,15,3,88,87
85,06H-5A-90,28,5A,90,6,2,45,1,46,3,48,0.041666667,0.9375,0.020833333,0.958333333,0.0625,15,3,89,88
76,06H-5A-180,1,5A,180,6,0,7,37,44,37,44,0,0.159090909,0.840909091,1,0.840909091,15,3,91,89
77,06H-5A-180,7,5A,180,6,0,29,15,44,15,44,0,0.659090909,0.340909091,1,0.340909091,15,3,92,90
78,06H-5A-180,14,5A,180,6,1,34,9,43,10,44,0.022727273,0.772727273,0.204545455,0.977272727,0.227272727,15,3,93,91
79,06H-5A-180,21,5A,180,6,0,35,9,44,9,44,0,0.795454545,0.204545455,1,0.204545455,15,3,94,92
80,06H-5A-180,28,5A,180,6,0,40,4,44,4,44,0,0.909090909,0.090909091,1,0.090909091,15,3,95,93
87,06H-CO-1,1,CO,1,6,48,0,0,0,48,48,1,0,0,0,1,20,3,97,94
88,06H-CO-1,2,CO,1,6,48,0,0,0,48,48,1,0,0,0,1,20,3,98,95
89,06H-CO-1,7,CO,1,6,47,1,0,1,47,48,0.979166667,0.020833333,0,0.020833333,0.979166667,20,3,99,96
90,06H-CO-1,14,CO,1,6,46,2,0,2,46,48,0.958333333,0.041666667,0,0.041666667,0.958333333,20,3,100,97
91,06H-CO-1,21,CO,1,6,43,5,0,5,43,48,0.895833333,0.104166667,0,0.104166667,0.895833333,20,3,101,98
92,06H-CO-1,28,CO,1,6,43,5,0,5,43,48,0.895833333,0.104166667,0,0.104166667,0.895833333,20,3,102,99
98,06H-CO-90,1,CO,90,6,44,3,1,4,45,48,0.916666667,0.0625,0.020833333,0.083333333,0.9375,20,3,104,100
99,06H-CO-90,7,CO,90,6,38,9,1,10,39,48,0.791666667,0.1875,0.020833333,0.208333333,0.8125,20,3,105,101
100,06H-CO-90,13,CO,90,6,36,11,1,12,37,48,0.75,0.229166667,0.020833333,0.25,0.770833333,20,3,106,102
101,06H-CO-90,21,CO,90,6,34,12,2,14,36,48,0.708333333,0.25,0.041666667,0.291666667,0.75,20,3,107,103
102,06H-CO-90,28,CO,90,6,31,17,0,17,31,48,0.645833333,0.354166667,0,0.354166667,0.645833333,20,3,108,104
93,06H-CO-180,1,CO,180,6,36,8,0,8,36,44,0.818181818,0.181818182,0,0.181818182,0.818181818,20,3,110,105
94,06H-CO-180,7,CO,180,6,32,12,0,12,32,44,0.727272727,0.272727273,0,0.272727273,0.727272727,20,3,111,106
95,06H-CO-180,14,CO,180,6,31,13,0,13,31,44,0.704545455,0.295454545,0,0.295454545,0.704545455,20,3,112,107
96,06H-CO-180,21,CO,180,6,29,15,0,15,29,44,0.659090909,0.340909091,0,0.340909091,0.659090909,20,3,113,108
97,06H-CO-180,28,CO,180,6,26,18,0,18,26,44,0.590909091,0.409090909,0,0.409090909,0.590909091,20,3,114,109
104,24H-5A-1,1,5A,1,24,0,4,44,48,44,48,0,0.083333333,0.916666667,1,0.916666667,15,4,116,110
105,24H-5A-1,2,5A,1,24,0,10,38,48,38,48,0,0.208333333,0.791666667,1,0.791666667,15,4,117,111
106,24H-5A-1,7,5A,1,24,1,42,5,47,6,48,0.020833333,0.875,0.104166667,0.979166667,0.125,15,4,118,112
107,24H-5A-1,14,5A,1,24,1,45,2,47,3,48,0.020833333,0.9375,0.041666667,0.979166667,0.0625,15,4,119,113
108,24H-5A-1,21,5A,1,24,1,47,0,47,1,48,0.020833333,0.979166667,0,0.979166667,0.020833333,15,4,120,114
109,24H-5A-1,28,5A,1,24,1,47,0,47,1,48,0.020833333,0.979166667,0,0.979166667,0.020833333,15,4,121,115
110,24H-5A-180,1,5A,180,24,0,7,38,45,38,45,0,0.155555556,0.844444444,1,0.844444444,15,4,123,116
111,24H-5A-180,7,5A,180,24,0,31,14,45,14,45,0,0.688888889,0.311111111,1,0.311111111,15,4,124,117
112,24H-5A-180,14,5A,180,24,0,37,8,45,8,45,0,0.822222222,0.177777778,1,0.177777778,15,4,125,118
113,24H-5A-180,21,5A,180,24,0,42,3,45,3,45,0,0.933333333,0.066666667,1,0.066666667,15,4,126,119
114,24H-5A-180,28,5A,180,24,1,43,1,44,2,45,0.022222222,0.955555556,0.022222222,0.977777778,0.044444444,15,4,127,120
15,06H-5A-180,0,5A,180,6,44,0,0,0,44,44,1,0,0,0,1,15,3,,121
16,06H-5A-90,0,5A,90,6,48,0,0,0,48,48,1,0,0,0,1,15,3,84,122
17,06H-CO-1,0,CO,1,6,48,0,0,0,48,48,1,0,0,0,1,20,3,,123
19,06H-CO-180,0,CO,180,6,44,0,0,0,44,44,1,0,0,0,1,20,3,,124
20,06H-CO-90,0,CO,90,6,48,0,0,0,48,48,1,0,0,0,1,20,3,,125
21,24H-5A-1,0,5A,1,24,48,0,0,0,48,48,1,0,0,0,1,15,4,,126
22,24H-5A-180,0,5A,180,24,45,0,0,0,45,45,1,0,0,0,1,15,4,,127
23,24H-5A-90,0,5A,90,24,48,0,0,0,48,48,1,0,0,0,1,15,4,,128
24,24H-CF-1,0,CF,1,24,46,0,0,0,46,46,1,0,0,0,1,17,4,,129
25,24H-CF-180,0,CF,180,24,45,0,0,0,45,45,1,0,0,0,1,17,4,,130
26,24H-CF-90,0,CF,90,24,48,0,0,0,48,48,1,0,0,0,1,17,4,,131
27,24H-CO-1,0,CO,1,24,48,0,0,0,48,48,1,0,0,0,1,20,4,,132
28,24H-CO-180,0,CO,180,24,44,0,0,0,44,44,1,0,0,0,1,20,4,,133
29,24H-CO-90,0,CO,90,24,48,0,0,0,48,48,1,0,0,0,1,20,4,,134
115,24H-5A-90,1,5A,90,24,0,9,39,48,39,48,0,0.1875,0.8125,1,0.8125,15,4,,135
116,24H-5A-90,7,5A,90,24,3,37,8,45,11,48,0.0625,0.770833333,0.166666667,0.9375,0.229166667,15,4,,136
117,24H-5A-90,13,5A,90,24,1,42,5,47,6,48,0.020833333,0.875,0.104166667,0.979166667,0.125,15,4,,137
118,24H-5A-90,21,5A,90,24,0,48,0,48,0,48,0,1,0,1,0,15,4,,138
119,24H-5A-90,28,5A,90,24,0,48,0,48,0,48,0,1,0,1,0,15,4,,139
121,24H-CF-1,1,CF,1,24,43,2,1,3,44,46,0.934782609,0.043478261,0.02173913,0.065217391,0.956521739,17,4,,140
122,24H-CF-1,2,CF,1,24,40,5,1,6,41,46,0.869565217,0.108695652,0.02173913,0.130434783,0.891304348,17,4,,141
123,24H-CF-1,7,CF,1,24,36,7,3,10,39,46,0.782608696,0.152173913,0.065217391,0.217391304,0.847826087,17,4,,142
124,24H-CF-1,14,CF,1,24,35,10,1,11,36,46,0.760869565,0.217391304,0.02173913,0.239130435,0.782608696,17,4,,143
125,24H-CF-1,21,CF,1,24,35,11,0,11,35,46,0.760869565,0.239130435,0,0.239130435,0.760869565,17,4,,144
126,24H-CF-1,28,CF,1,24,32,14,0,14,32,46,0.695652174,0.304347826,0,0.304347826,0.695652174,17,4,,145
127,24H-CF-180,1,CF,180,24,40,4,1,5,41,45,0.888888889,0.088888889,0.022222222,0.111111111,0.911111111,17,4,,146
128,24H-CF-180,7,CF,180,24,20,21,4,25,24,45,0.444444444,0.466666667,0.088888889,0.555555556,0.533333333,17,4,,147
129,24H-CF-180,14,CF,180,24,5,37,3,40,8,45,0.111111111,0.822222222,0.066666667,0.888888889,0.177777778,17,4,,148
130,24H-CF-180,21,CF,180,24,1,43,1,44,2,45,0.022222222,0.955555556,0.022222222,0.977777778,0.044444444,17,4,,149
131,24H-CF-180,28,CF,180,24,0,45,0,45,0,45,0,1,0,1,0,17,4,,150
132,24H-CF-90,1,CF,90,24,39,4,5,9,44,48,0.8125,0.083333333,0.104166667,0.1875,0.916666667,17,4,,151
133,24H-CF-90,7,CF,90,24,27,20,1,21,28,48,0.5625,0.416666667,0.020833333,0.4375,0.583333333,17,4,,152
134,24H-CF-90,13,CF,90,24,24,22,2,24,26,48,0.5,0.458333333,0.041666667,0.5,0.541666667,17,4,,153
135,24H-CF-90,21,CF,90,24,19,27,2,29,21,48,0.395833333,0.5625,0.041666667,0.604166667,0.4375,17,4,,154
136,24H-CF-90,28,CF,90,24,12,34,2,36,14,48,0.25,0.708333333,0.041666667,0.75,0.291666667,17,4,,155
138,24H-CO-1,1,CO,1,24,45,2,1,3,46,48,0.9375,0.041666667,0.020833333,0.0625,0.958333333,20,4,,156
139,24H-CO-1,2,CO,1,24,44,3,1,4,45,48,0.916666667,0.0625,0.020833333,0.083333333,0.9375,20,4,,157
140,24H-CO-1,7,CO,1,24,42,5,1,6,43,48,0.875,0.104166667,0.020833333,0.125,0.895833333,20,4,,158
141,24H-CO-1,14,CO,1,24,42,6,0,6,42,48,0.875,0.125,0,0.125,0.875,20,4,,159
142,24H-CO-1,21,CO,1,24,41,6,1,7,42,48,0.854166667,0.125,0.020833333,0.145833333,0.875,20,4,,160
143,24H-CO-1,28,CO,1,24,41,7,0,7,41,48,0.854166667,0.145833333,0,0.145833333,0.854166667,20,4,,161
144,24H-CO-180,1,CO,180,24,44,0,0,0,44,44,1,0,0,0,1,20,4,,162
145,24H-CO-180,7,CO,180,24,37,3,4,7,41,44,0.840909091,0.068181818,0.090909091,0.159090909,0.931818182,20,4,,163
146,24H-CO-180,14,CO,180,24,38,4,2,6,40,44,0.863636364,0.090909091,0.045454545,0.136363636,0.909090909,20,4,,164
147,24H-CO-180,21,CO,180,24,33,10,1,11,34,44,0.75,0.227272727,0.022727273,0.25,0.772727273,20,4,,165
148,24H-CO-180,28,CO,180,24,31,12,1,13,32,44,0.704545455,0.272727273,0.022727273,0.295454545,0.727272727,20,4,,166
149,24H-CO-90,1,CO,90,24,48,0,0,0,48,48,1,0,0,0,1,20,4,,167
150,24H-CO-90,7,CO,90,24,46,2,0,2,46,48,0.958333333,0.041666667,0,0.041666667,0.958333333,20,4,,168
151,24H-CO-90,13,CO,90,24,43,4,1,5,44,48,0.895833333,0.083333333,0.020833333,0.104166667,0.916666667,20,4,,169
152,24H-CO-90,21,CO,90,24,42,6,0,6,42,48,0.875,0.125,0,0.125,0.875,20,4,,170
153,24H-CO-90,28,CO,90,24,38,10,0,10,38,48,0.791666667,0.208333333,0,0.208333333,0.791666667,20,4,,171
